2024-03-03 12:08:10.339758
Logging to Training/Logs/TekusReward1-1C-FINAL
----------------------------------
| rollout/           |           |
|    ep_len_mean     | 432       |
|    ep_rew_mean     | 1521.6722 |
| time/              |           |
|    fps             | 6061      |
|    iterations      | 1         |
|    time_elapsed    | 20        |
|    total_timesteps | 122880    |
----------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 450        |
|    ep_rew_mean          | 1585.4371  |
| time/                   |            |
|    fps                  | 1253       |
|    iterations           | 2          |
|    time_elapsed         | 196        |
|    total_timesteps      | 245760     |
| train/                  |            |
|    approx_kl            | 0.14785372 |
|    clip_fraction        | 0.481      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.96      |
|    explained_variance   | 0.554      |
|    learning_rate        | 0.0002     |
|    loss                 | 0.17       |
|    n_updates            | 1120       |
|    policy_gradient_loss | -0.0082    |
|    value_loss           | 0.236      |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 420        |
|    ep_rew_mean          | 1459.6399  |
| time/                   |            |
|    fps                  | 979        |
|    iterations           | 3          |
|    time_elapsed         | 376        |
|    total_timesteps      | 368640     |
| train/                  |            |
|    approx_kl            | 0.14241168 |
|    clip_fraction        | 0.476      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.92      |
|    explained_variance   | 0.734      |
|    learning_rate        | 0.0002     |
|    loss                 | 0.0867     |
|    n_updates            | 1130       |
|    policy_gradient_loss | -0.00868   |
|    value_loss           | 0.121      |
----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 442       |
|    ep_rew_mean          | 1512.1204 |
| time/                   |           |
|    fps                  | 897       |
|    iterations           | 4         |
|    time_elapsed         | 547       |
|    total_timesteps      | 491520    |
| train/                  |           |
|    approx_kl            | 0.1451634 |
|    clip_fraction        | 0.47      |
|    clip_range           | 0.2       |
|    entropy_loss         | -1.87     |
|    explained_variance   | 0.766     |
|    learning_rate        | 0.0002    |
|    loss                 | 0.0416    |
|    n_updates            | 1140      |
|    policy_gradient_loss | -0.00844  |
|    value_loss           | 0.11      |
---------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 437        |
|    ep_rew_mean          | 1507.8708  |
| time/                   |            |
|    fps                  | 855        |
|    iterations           | 5          |
|    time_elapsed         | 718        |
|    total_timesteps      | 614400     |
| train/                  |            |
|    approx_kl            | 0.15217227 |
|    clip_fraction        | 0.471      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.79      |
|    explained_variance   | 0.78       |
|    learning_rate        | 0.0002     |
|    loss                 | 0.00107    |
|    n_updates            | 1150       |
|    policy_gradient_loss | -0.00861   |
|    value_loss           | 0.122      |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 437        |
|    ep_rew_mean          | 1498.2711  |
| time/                   |            |
|    fps                  | 828        |
|    iterations           | 6          |
|    time_elapsed         | 890        |
|    total_timesteps      | 737280     |
| train/                  |            |
|    approx_kl            | 0.15089522 |
|    clip_fraction        | 0.47       |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.81      |
|    explained_variance   | 0.784      |
|    learning_rate        | 0.0002     |
|    loss                 | 0.00342    |
|    n_updates            | 1160       |
|    policy_gradient_loss | -0.00842   |
|    value_loss           | 0.113      |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 436        |
|    ep_rew_mean          | 1551.1798  |
| time/                   |            |
|    fps                  | 809        |
|    iterations           | 7          |
|    time_elapsed         | 1061       |
|    total_timesteps      | 860160     |
| train/                  |            |
|    approx_kl            | 0.13772115 |
|    clip_fraction        | 0.47       |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.94      |
|    explained_variance   | 0.747      |
|    learning_rate        | 0.0002     |
|    loss                 | 0.000401   |
|    n_updates            | 1170       |
|    policy_gradient_loss | -0.00963   |
|    value_loss           | 0.124      |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 450        |
|    ep_rew_mean          | 1537.8873  |
| time/                   |            |
|    fps                  | 794        |
|    iterations           | 8          |
|    time_elapsed         | 1236       |
|    total_timesteps      | 983040     |
| train/                  |            |
|    approx_kl            | 0.14250848 |
|    clip_fraction        | 0.464      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.93      |
|    explained_variance   | 0.766      |
|    learning_rate        | 0.0002     |
|    loss                 | 0.179      |
|    n_updates            | 1180       |
|    policy_gradient_loss | -0.0086    |
|    value_loss           | 0.126      |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 450        |
|    ep_rew_mean          | 1544.9985  |
| time/                   |            |
|    fps                  | 781        |
|    iterations           | 9          |
|    time_elapsed         | 1415       |
|    total_timesteps      | 1105920    |
| train/                  |            |
|    approx_kl            | 0.14648987 |
|    clip_fraction        | 0.467      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.87      |
|    explained_variance   | 0.779      |
|    learning_rate        | 0.0002     |
|    loss                 | 0.0474     |
|    n_updates            | 1190       |
|    policy_gradient_loss | -0.00808   |
|    value_loss           | 0.124      |
----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 450       |
|    ep_rew_mean          | 1529.7322 |
| time/                   |           |
|    fps                  | 772       |
|    iterations           | 10        |
|    time_elapsed         | 1590      |
|    total_timesteps      | 1228800   |
| train/                  |           |
|    approx_kl            | 0.1403045 |
|    clip_fraction        | 0.469     |
|    clip_range           | 0.2       |
|    entropy_loss         | -1.89     |
|    explained_variance   | 0.768     |
|    learning_rate        | 0.0002    |
|    loss                 | 0.0464    |
|    n_updates            | 1200      |
|    policy_gradient_loss | -0.00855  |
|    value_loss           | 0.125     |
---------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 434        |
|    ep_rew_mean          | 1465.4786  |
| time/                   |            |
|    fps                  | 767        |
|    iterations           | 11         |
|    time_elapsed         | 1760       |
|    total_timesteps      | 1351680    |
| train/                  |            |
|    approx_kl            | 0.15366265 |
|    clip_fraction        | 0.469      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.66      |
|    explained_variance   | 0.791      |
|    learning_rate        | 0.0002     |
|    loss                 | 0.037      |
|    n_updates            | 1210       |
|    policy_gradient_loss | -0.0062    |
|    value_loss           | 0.125      |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 418        |
|    ep_rew_mean          | 1374.3237  |
| time/                   |            |
|    fps                  | 762        |
|    iterations           | 12         |
|    time_elapsed         | 1933       |
|    total_timesteps      | 1474560    |
| train/                  |            |
|    approx_kl            | 0.15288213 |
|    clip_fraction        | 0.465      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.66      |
|    explained_variance   | 0.787      |
|    learning_rate        | 0.0002     |
|    loss                 | 0.0495     |
|    n_updates            | 1220       |
|    policy_gradient_loss | -0.00648   |
|    value_loss           | 0.115      |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 429        |
|    ep_rew_mean          | 1472.1     |
| time/                   |            |
|    fps                  | 757        |
|    iterations           | 13         |
|    time_elapsed         | 2108       |
|    total_timesteps      | 1597440    |
| train/                  |            |
|    approx_kl            | 0.16209863 |
|    clip_fraction        | 0.463      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.6       |
|    explained_variance   | 0.803      |
|    learning_rate        | 0.0002     |
|    loss                 | 0.0112     |
|    n_updates            | 1230       |
|    policy_gradient_loss | -0.00582   |
|    value_loss           | 0.119      |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 419        |
|    ep_rew_mean          | 1423.7701  |
| time/                   |            |
|    fps                  | 754        |
|    iterations           | 14         |
|    time_elapsed         | 2281       |
|    total_timesteps      | 1720320    |
| train/                  |            |
|    approx_kl            | 0.16658838 |
|    clip_fraction        | 0.464      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.53      |
|    explained_variance   | 0.81       |
|    learning_rate        | 0.0002     |
|    loss                 | 0.00601    |
|    n_updates            | 1240       |
|    policy_gradient_loss | -0.00471   |
|    value_loss           | 0.11       |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 449        |
|    ep_rew_mean          | 1534.6517  |
| time/                   |            |
|    fps                  | 750        |
|    iterations           | 15         |
|    time_elapsed         | 2455       |
|    total_timesteps      | 1843200    |
| train/                  |            |
|    approx_kl            | 0.16610357 |
|    clip_fraction        | 0.468      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.59      |
|    explained_variance   | 0.78       |
|    learning_rate        | 0.0002     |
|    loss                 | -0.00763   |
|    n_updates            | 1250       |
|    policy_gradient_loss | -0.00661   |
|    value_loss           | 0.127      |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 410        |
|    ep_rew_mean          | 1406.6763  |
| time/                   |            |
|    fps                  | 746        |
|    iterations           | 16         |
|    time_elapsed         | 2634       |
|    total_timesteps      | 1966080    |
| train/                  |            |
|    approx_kl            | 0.17070709 |
|    clip_fraction        | 0.466      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.51      |
|    explained_variance   | 0.809      |
|    learning_rate        | 0.0002     |
|    loss                 | 0.0201     |
|    n_updates            | 1260       |
|    policy_gradient_loss | -0.00539   |
|    value_loss           | 0.109      |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 439        |
|    ep_rew_mean          | 1445.8864  |
| time/                   |            |
|    fps                  | 742        |
|    iterations           | 17         |
|    time_elapsed         | 2812       |
|    total_timesteps      | 2088960    |
| train/                  |            |
|    approx_kl            | 0.16380247 |
|    clip_fraction        | 0.466      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.53      |
|    explained_variance   | 0.803      |
|    learning_rate        | 0.0002     |
|    loss                 | 0.036      |
|    n_updates            | 1270       |
|    policy_gradient_loss | -0.00572   |
|    value_loss           | 0.113      |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 389        |
|    ep_rew_mean          | 1333.5991  |
| time/                   |            |
|    fps                  | 740        |
|    iterations           | 18         |
|    time_elapsed         | 2987       |
|    total_timesteps      | 2211840    |
| train/                  |            |
|    approx_kl            | 0.16742921 |
|    clip_fraction        | 0.466      |
